id_harga;id_saham;tanggal;close;volume
;5;2001-04-16;295;324000
;5;2001-04-17;295;423500
;5;2001-04-18;290;189000
;5;2001-04-19;255;3886500
;5;2001-04-20;250;2247000
;5;2001-04-23;250;245000
;5;2001-04-24;245;626000
;5;2001-04-25;245;4416000
;5;2001-04-26;245;4416000
;5;2001-04-27;245;937500
;5;2001-04-30;245;596000
;5;2001-05-01;245;3501500
;5;2001-05-02;250;1407500
;5;2001-05-03;255;2195000
;5;2001-05-04;265;7783500
;5;2001-05-07;265;0
;5;2001-05-08;260;3852000
;5;2001-05-09;260;4604000
;5;2001-05-10;245;347000
;5;2001-05-11;255;4018000
;5;2001-05-14;260;3402000
;5;2001-05-15;255;2163500
;5;2001-05-16;260;1597500
;5;2001-05-17;260;1042500
;5;2001-05-18;255;190000
;5;2001-05-21;255;330000
;5;2001-05-22;255;190000
;5;2001-05-23;250;20000
;5;2001-05-24;250;0
;5;2001-05-25;255;817500
;5;2001-05-28;250;690000
;5;2001-05-29;270;5977500
;5;2001-05-30;275;4220000
;5;2001-05-31;270;1277500
;5;2001-06-01;255;1122500
;5;2001-06-04;255;0
;5;2001-06-05;260;413000
;5;2001-06-06;270;4685000
;5;2001-06-07;260;1200500
;5;2001-06-08;265;359500
;5;2001-06-11;265;202500
;5;2001-06-12;260;520000
;5;2001-06-13;260;40000
;5;2001-06-14;260;172500
;5;2001-06-15;260;470000
;5;2001-06-18;270;1202000
;5;2001-06-19;280;2583000
;5;2001-06-20;290;9377000
;5;2001-06-21;280;932500
;5;2001-06-22;280;145000
;5;2001-06-25;285;610500
;5;2001-06-26;285;345000
;5;2001-06-27;285;1381000
;5;2001-06-28;275;954500
;5;2001-06-29;280;265000
;5;2001-07-02;280;221000
;5;2001-07-03;280;174000
;5;2001-07-04;280;57500
;5;2001-07-05;285;914500
;5;2001-07-06;285;50000
;5;2001-07-09;290;484000
;5;2001-07-10;290;337500
;5;2001-07-11;285;720500
;5;2001-07-12;295;2912500
;5;2001-07-13;290;1146500
;5;2001-07-16;290;178500
;5;2001-07-17;290;540000
;5;2001-07-18;290;193000
;5;2001-07-19;300;4541000
;5;2001-07-20;295;1495000
;5;2001-07-23;305;3647500
;5;2001-07-24;305;1234500
;5;2001-07-25;300;1007000
;5;2001-07-26;305;327500
;5;2001-07-27;305;27000
;5;2001-07-30;305;156000
;5;2001-07-31;305;131500
;5;2001-08-01;305;89500
;5;2001-08-02;300;774500
;5;2001-08-03;300;591500
;5;2001-08-06;295;477000
;5;2001-08-07;295;776500
;5;2001-08-08;300;51000
;5;2001-08-09;295;1057000
;5;2001-08-10;295;19000
;5;2001-08-13;305;3837000
;5;2001-08-14;305;3945000
;5;2001-08-15;300;824500
;5;2001-08-16;300;143000
;5;2001-08-17;300;0
;5;2001-08-20;300;2201500
;5;2001-08-21;300;5000
;5;2001-08-22;300;282500
;5;2001-08-23;295;104000
;5;2001-08-24;300;414500
;5;2001-08-27;300;0
;5;2001-08-28;285;828000
;5;2001-08-29;285;75000
;5;2001-08-30;290;177500
;5;2001-08-31;290;0
;5;2001-09-03;280;252500
;5;2001-09-04;285;177000
;5;2001-09-05;285;195500
;5;2001-09-06;290;229000
;5;2001-09-07;285;4000
;5;2001-09-10;285;15000
;5;2001-09-11;280;55000
;5;2001-09-12;275;35000
;5;2001-09-13;275;50000
;5;2001-09-14;265;165000
;5;2001-09-17;270;209500
;5;2001-09-18;260;185500
;5;2001-09-19;265;50500
;5;2001-09-20;265;21000
;5;2001-09-21;260;767000
;5;2001-09-24;260;0
;5;2001-09-25;245;118000
;5;2001-09-26;235;757500
;5;2001-09-27;235;90000
;5;2001-09-28;235;0
;5;2001-10-01;230;36000
;5;2001-10-02;220;659000
;5;2001-10-03;200;1522000
;5;2001-10-04;205;617500
;5;2001-10-05;205;400000
;5;2001-10-08;200;43000
;5;2001-10-09;200;612000
;5;2001-10-10;195;151000
