id_harga;id_saham;tanggal;close;volume
;4;2017-12-19;494;10382700
;4;2017-12-20;615;27662600
;4;2017-12-21;765;17774300
;4;2017-12-22;955;12470600
;4;2017-12-25;955;0
;4;2017-12-26;955;0
;4;2017-12-27;1190;8015400
;4;2017-12-28;1485;8500300
;4;2017-12-29;1185;27761700
;4;2018-01-01;1185;0
;4;2018-01-02;1035;11018300
;4;2018-01-03;915;8655900
;4;2018-01-04;1000;12430900
;4;2018-01-05;975;2504300
;4;2018-01-08;920;2229400
;4;2018-01-09;905;2263500
;4;2018-01-10;905;1935500
;4;2018-01-11;885;1163200
;4;2018-01-12;830;1419800
;4;2018-01-15;745;5482700
;4;2018-01-16;780;5618200
;4;2018-01-17;760;1520500
;4;2018-01-18;730;740600
;4;2018-01-19;730;1284100
;4;2018-01-22;800;3576700
;4;2018-01-23;775;4023800
;4;2018-01-24;755;520000
;4;2018-01-25;725;1079500
;4;2018-01-26;755;1790500
;4;2018-01-29;730;2114500
;4;2018-01-30;720;829200
;4;2018-01-31;785;9853800
;4;2018-02-01;740;5344600
;4;2018-02-02;740;336800
;4;2018-02-05;725;549500
;4;2018-02-06;695;1008600
;4;2018-02-07;710;472600
;4;2018-02-08;685;445400
;4;2018-02-09;670;399500
;4;2018-02-12;675;256300
;4;2018-02-13;680;621700
;4;2018-02-14;660;633500
;4;2018-02-15;660;265700
;4;2018-02-16;660;0
;4;2018-02-19;670;339100
;4;2018-02-20;675;2093300
;4;2018-02-21;665;758000
;4;2018-02-22;670;1154300
;4;2018-02-23;675;1776800
;4;2018-02-26;665;715500
;4;2018-02-27;690;713800
;4;2018-02-28;690;4255000
;4;2018-03-01;675;476400
;4;2018-03-02;655;740100
;4;2018-03-05;645;521500
;4;2018-03-06;640;241600
;4;2018-03-07;595;870600
;4;2018-03-08;585;542400
;4;2018-03-09;580;1524300
;4;2018-03-12;570;3355100
;4;2018-03-13;555;599300
;4;2018-03-14;550;1463800
;4;2018-03-15;550;4783300
;4;2018-03-16;530;1387700
;4;2018-03-19;510;951900
;4;2018-03-20;496;4195400
;4;2018-03-21;494;1274300
;4;2018-03-22;490;2750700
;4;2018-03-23;480;4317200
;4;2018-03-26;476;495200
;4;2018-03-27;462;8649900
;4;2018-03-28;458;1082300
;4;2018-03-29;448;571300
;4;2018-03-30;448;0
;4;2018-04-02;442;530000
;4;2018-04-03;428;719000
;4;2018-04-04;418;570600
;4;2018-04-05;406;5782400
;4;2018-04-06;402;747700
;4;2018-04-09;412;1824500
;4;2018-04-10;440;5184900
;4;2018-04-11;430;1872000
;4;2018-04-12;414;711000
;4;2018-04-13;408;465300
;4;2018-04-16;408;0
;4;2018-04-17;408;0
;4;2018-04-18;402;253100
;4;2018-04-19;402;0
;4;2018-04-20;402;0
;4;2018-04-23;400;331500
;4;2018-04-24;394;516700
;4;2018-04-25;394;0
;4;2018-04-26;394;0
;4;2018-04-27;394;0
;4;2018-04-30;364;1131100
;4;2018-05-01;364;0
;4;2018-05-02;362;1479900
;4;2018-05-03;374;6142100
;4;2018-05-04;358;1489100
;4;2018-05-07;368;1831900
;4;2018-05-08;350;1095300
;4;2018-05-09;334;629300
;4;2018-05-10;334;0
;4;2018-05-11;338;376600
;4;2018-05-14;334;450000
;4;2018-05-15;324;382800
;4;2018-05-16;326;405200
;4;2018-05-17;340;1298800
;4;2018-05-18;338;406200
;4;2018-05-21;336;353600
;4;2018-05-22;342;1266000
;4;2018-05-23;356;5063500
;4;2018-05-24;444;15261300
;4;2018-05-25;520;38589600
;4;2018-05-28;520;20207100
;4;2018-05-29;520;0
;4;2018-05-30;440;24274400
;4;2018-05-31;390;11007900
;4;2018-06-01;390;0
;4;2018-06-04;400;16447100
;4;2018-06-05;390;4950600
;4;2018-06-06;376;5300200
;4;2018-06-07;370;1174900
;4;2018-06-08;366;1175000
;4;2018-06-11;366;0
;4;2018-06-12;366;0
;4;2018-06-13;366;0
;4;2018-06-14;366;0
;4;2018-06-15;366;0
;4;2018-06-18;366;0
;4;2018-06-19;366;0
;4;2018-06-20;356;442800
;4;2018-06-21;362;2514400
;4;2018-06-22;356;743600
;4;2018-06-25;346;977300
;4;2018-06-26;330;1237500
;4;2018-06-27;342;1906200
;4;2018-06-28;326;1087900
;4;2018-06-29;314;1787200
;4;2018-07-02;312;898200
;4;2018-07-03;304;729900
;4;2018-07-04;326;6401900
;4;2018-07-05;348;5630700
;4;2018-07-06;354;2108900
;4;2018-07-09;356;4491800
;4;2018-07-10;358;1481400
;4;2018-07-11;368;7655800
;4;2018-07-12;380;12739900
;4;2018-07-13;390;10845400
;4;2018-07-16;364;3169800
;4;2018-07-17;362;9598400
;4;2018-07-18;358;1206400
;4;2018-07-19;362;3754300
;4;2018-07-20;354;438200
;4;2018-07-23;348;359900
;4;2018-07-24;384;12487700
;4;2018-07-25;372;7349900
;4;2018-07-26;380;1672200
;4;2018-07-27;380;1240600
;4;2018-07-30;392;4549000
;4;2018-07-31;368;1992300
;4;2018-08-01;390;3959300
;4;2018-08-02;390;1836900
;4;2018-08-03;392;1408900
;4;2018-08-06;418;9558800
;4;2018-08-07;424;12063000
;4;2018-08-08;420;2951000
;4;2018-08-09;452;12481400
;4;2018-08-10;432;4053800
;4;2018-08-13;392;2035800
;4;2018-08-14;372;3385100
;4;2018-08-15;396;5604600
;4;2018-08-16;382;928300
;4;2018-08-17;382;0
;4;2018-08-20;384;840100
;4;2018-08-21;402;3849400
;4;2018-08-22;402;0
;4;2018-08-23;414;7820300
;4;2018-08-24;416;1499700
;4;2018-08-27;406;760000
;4;2018-08-28;410;247400
;4;2018-08-29;402;327400
;4;2018-08-30;414;4330500
;4;2018-08-31;410;1173800
;4;2018-09-03;396;403700
;4;2018-09-04;384;920100
;4;2018-09-05;364;2912700
;4;2018-09-06;378;953100
;4;2018-09-07;400;2690600
;4;2018-09-10;390;576900
;4;2018-09-11;390;0
;4;2018-09-12;392;1725700
;4;2018-09-13;392;661700
;4;2018-09-14;390;1231400
;4;2018-09-17;390;608700
;4;2018-09-18;388;114000
;4;2018-09-19;394;2600100
;4;2018-09-20;380;1287100
;4;2018-09-21;378;2325800
;4;2018-09-24;370;329700
;4;2018-09-25;382;663400
;4;2018-09-26;374;930700
;4;2018-09-27;378;2894800
;4;2018-09-28;370;1354300
;4;2018-10-01;364;1099200
;4;2018-10-02;380;6216800
;4;2018-10-03;374;4167300
;4;2018-10-04;356;6670600
;4;2018-10-05;356;399300
;4;2018-10-08;354;631200
;4;2018-10-09;354;387300
;4;2018-10-10;354;342600
;4;2018-10-11;362;2653500
;4;2018-10-12;358;451100
;4;2018-10-15;352;1823000
;4;2018-10-16;352;210200
;4;2018-10-17;354;6427300
;4;2018-10-18;356;3138000
;4;2018-10-19;356;1032500
;4;2018-10-22;350;2895200
;4;2018-10-23;342;3435600
;4;2018-10-24;338;919200
;4;2018-10-25;326;787800
;4;2018-10-26;330;211400
;4;2018-10-29;318;405600
;4;2018-10-30;310;833000
;4;2018-10-31;328;1824400
;4;2018-11-01;342;2372100
;4;2018-11-02;344;947400
;4;2018-11-05;340;1069300
;4;2018-11-06;346;2015500
;4;2018-11-07;348;412700
;4;2018-11-08;342;204100
;4;2018-11-09;344;557500
;4;2018-11-12;338;39300
;4;2018-11-13;354;4635300
;4;2018-11-14;354;1503900
;4;2018-11-15;342;223000
;4;2018-11-16;352;1724600
;4;2018-11-19;344;2017600
;4;2018-11-20;344;0
;4;2018-11-21;350;1418400
;4;2018-11-22;354;403700
;4;2018-11-23;360;1851600
;4;2018-11-26;360;3034500
;4;2018-11-27;346;3452700
;4;2018-11-28;370;4352500
;4;2018-11-29;360;1873500
;4;2018-11-30;378;8477400
;4;2018-12-03;388;3053800
;4;2018-12-04;392;6155300
;4;2018-12-05;396;4293500
;4;2018-12-06;388;3489500
;4;2018-12-07;388;6981800
;4;2018-12-10;380;394000
;4;2018-12-11;382;3123400
;4;2018-12-12;394;3720500
;4;2018-12-13;396;3539200
;4;2018-12-14;406;5570200
;4;2018-12-17;402;1809400
;4;2018-12-18;400;1918500
;4;2018-12-19;402;1990200
;4;2018-12-20;384;3579900
;4;2018-12-21;380;833500
;4;2018-12-24;380;0
;4;2018-12-25;380;0
;4;2018-12-26;380;5461700
;4;2018-12-27;374;628700
;4;2018-12-28;346;964800
;4;2018-12-31;346;0
;4;2019-01-01;346;0
;4;2019-01-02;360;1737900
;4;2019-01-03;358;6036300
;4;2019-01-04;358;1020500
;4;2019-01-07;370;5424300
;4;2019-01-08;372;1549400
;4;2019-01-09;374;1664000
;4;2019-01-10;374;3520700
;4;2019-01-11;378;2361300
;4;2019-01-14;378;3408200
;4;2019-01-15;384;5478100
;4;2019-01-16;384;723500
;4;2019-01-17;376;3408200
;4;2019-01-18;378;2287600
;4;2019-01-21;378;2114900
;4;2019-01-22;384;3891600
;4;2019-01-23;386;2636200
;4;2019-01-24;388;2028700
;4;2019-01-25;390;3940200
;4;2019-01-28;384;1999500
;4;2019-01-29;380;4000100
;4;2019-01-30;382;3714900
;4;2019-01-31;390;2173700
;4;2019-02-01;388;2048300
;4;2019-02-04;390;4208700
;4;2019-02-05;390;0
;4;2019-02-06;392;689500
;4;2019-02-07;394;2842100
;4;2019-02-08;412;5883300
;4;2019-02-11;432;5960400
;4;2019-02-12;438;8583800
;4;2019-02-13;432;4481700
;4;2019-02-14;446;9335400
;4;2019-02-15;474;5463100
;4;2019-02-18;476;7955100
;4;2019-02-19;496;4968100
;4;2019-02-20;510;17614400
;4;2019-02-21;510;5182700
;4;2019-02-22;498;2552900
;4;2019-02-25;510;6404100
;4;2019-02-26;505;5605300
;4;2019-02-27;498;2340600
;4;2019-02-28;505;3577900
;4;2019-03-01;500;1850200
;4;2019-03-04;496;526000
;4;2019-03-05;498;7979500
;4;2019-03-06;496;5937000
;4;2019-03-07;496;0
;4;2019-03-08;505;7656600
;4;2019-03-11;498;4480700
;4;2019-03-12;570;13322000
;4;2019-03-13;670;26920000
;4;2019-03-14;730;37976000
;4;2019-03-15;735;35019400
;4;2019-03-18;710;10218100
;4;2019-03-19;700;4657300
;4;2019-03-20;660;7388900
;4;2019-03-21;685;18317000
;4;2019-03-22;685;7469800
;4;2019-03-25;670;9699300
;4;2019-03-26;665;5061500
;4;2019-03-27;650;7894100
;4;2019-03-28;630;6693700
;4;2019-03-29;630;2868500
;4;2019-04-01;680;6949200
;4;2019-04-02;675;5724600
;4;2019-04-03;675;0
;4;2019-04-04;640;3520500
;4;2019-04-05;630;1669400
;4;2019-04-08;635;1402800
;4;2019-04-09;650;3014100
;4;2019-04-10;645;4074800
;4;2019-04-11;640;5055200
;4;2019-04-12;640;2951700
;4;2019-04-15;625;1611700
;4;2019-04-16;615;2376400
;4;2019-04-17;615;0
;4;2019-04-18;595;4299300
;4;2019-04-19;595;0
;4;2019-04-22;605;5143600
;4;2019-04-23;600;2001100
;4;2019-04-24;565;2493300
;4;2019-04-25;540;1379100
;4;2019-04-26;580;2703000
;4;2019-04-29;600;2549600
;4;2019-04-30;620;4017400
;4;2019-05-01;620;0
;4;2019-05-02;625;1788800
;4;2019-05-03;610;564400
;4;2019-05-06;605;1743900
;4;2019-05-07;605;904400
;4;2019-05-08;600;789800
;4;2019-05-09;580;480800
;4;2019-05-10;605;654300
;4;2019-05-13;585;679100
;4;2019-05-14;590;489400
;4;2019-05-15;595;430800
;4;2019-05-16;570;1728700
;4;2019-05-17;595;584800
;4;2019-05-20;595;3629900
;4;2019-05-21;595;1504400
;4;2019-05-22;570;496300
;4;2019-05-23;590;378000
;4;2019-05-24;590;2543500
;4;2019-05-27;575;492500
;4;2019-05-28;575;243200
;4;2019-05-29;580;1437000
;4;2019-05-30;580;0
;4;2019-05-31;575;378900
;4;2019-06-03;575;0
;4;2019-06-04;575;0
;4;2019-06-05;575;0
;4;2019-06-06;575;0
;4;2019-06-07;575;0
;4;2019-06-10;565;546800
;4;2019-06-11;570;931100
;4;2019-06-12;560;304500
;4;2019-06-13;560;321100
;4;2019-06-14;560;368600
;4;2019-06-17;555;4766300
;4;2019-06-18;555;1475200
;4;2019-06-19;555;0
;4;2019-06-20;520;1783100
;4;2019-06-21;525;773500
;4;2019-06-24;515;871800
;4;2019-06-25;515;4142400
;4;2019-06-26;520;1377500
;4;2019-06-27;550;2975200
;4;2019-06-28;550;2683000
;4;2019-07-01;550;5106700
;4;2019-07-02;535;7041500
;4;2019-07-03;540;3840800
;4;2019-07-04;525;1316500
;4;2019-07-05;535;1009200
;4;2019-07-08;515;797500
;4;2019-07-09;525;1978600
;4;2019-07-10;525;300000
;4;2019-07-11;510;3869400
;4;2019-07-12;510;1517000
;4;2019-07-15;520;1166000
;4;2019-07-16;520;2255400
;4;2019-07-17;520;1441400
;4;2019-07-18;515;3300000
;4;2019-07-19;515;900000
;4;2019-07-22;515;1555900
;4;2019-07-23;510;3368000
;4;2019-07-24;505;713500
;4;2019-07-25;505;2249400
;4;2019-07-26;505;346900
;4;2019-07-29;510;1701800
;4;2019-07-30;515;1327600
;4;2019-07-31;515;336200
;4;2019-08-01;520;207400
;4;2019-08-02;580;7611600
;4;2019-08-05;550;9804200
;4;2019-08-06;550;1618200
;4;2019-08-07;575;2439100
;4;2019-08-08;560;2043600
;4;2019-08-09;550;5275800
;4;2019-08-12;535;1302600
;4;2019-08-13;525;881900
;4;2019-08-14;540;1317100
;4;2019-08-15;545;1798200
;4;2019-08-16;545;1488300
;4;2019-08-19;540;1432400
;4;2019-08-20;535;1024200
;4;2019-08-21;530;1526400
;4;2019-08-22;530;687400
;4;2019-08-23;515;1948400
;4;2019-08-26;510;1408300
;4;2019-08-27;525;1116400
;4;2019-08-28;525;1119300
;4;2019-08-29;520;1635300
;4;2019-08-30;510;511800
;4;2019-09-02;520;696100
;4;2019-09-03;505;934000
;4;2019-09-04;510;1753100
;4;2019-09-05;510;1486500
;4;2019-09-06;500;1770100
;4;2019-09-09;505;1212000
;4;2019-09-10;505;735000
;4;2019-09-11;498;967300
;4;2019-09-12;500;635300
;4;2019-09-13;500;1144700
;4;2019-09-16;505;1212600
;4;2019-09-17;500;1192900
;4;2019-09-18;500;1032200
;4;2019-09-19;500;1005600
;4;2019-09-20;500;2373000
;4;2019-09-23;492;1827700
;4;2019-09-24;484;1879000
;4;2019-09-25;468;1674700
;4;2019-09-26;458;1755100
;4;2019-09-27;456;1116800
;4;2019-09-30;462;325700
;4;2019-10-01;458;727600
;4;2019-10-02;450;498400
;4;2019-10-03;420;1220900
